split,model,sku,mae,wape,bias,n
holdout,ml,16044,0.27478576613788086,,0.27478576613788086,28
holdout,ml,20756,1.4912273514365864,4.1754365840224414,1.2398525677421226,28
holdout,ml,20759,2.0177603024258426,2.3540536861634833,0.7573871388506461,28
holdout,ml,20991,0.24692788603944857,,0.24692788603944857,28
holdout,ml,20993,0.24692788603944857,,0.24692788603944857,28
holdout,ml,21212,77.87452014860476,1.1908719629497178,73.12510589586114,28
holdout,ml,21232,46.618186452353754,0.745465003235811,-24.47817323727702,28
holdout,ml,21977,36.45865374324659,0.776305935217418,2.8743339345248216,28
holdout,ml,21980,14.037318424969317,1.43972496666352,13.268568047414835,28
holdout,ml,21984,12.879652728563244,3.219913182140811,11.431409639073143,28
holdout,ml,21985,12.324961004795028,0.787897050534842,6.910818994675504,28
holdout,ml,37410,0.27354835606899436,,0.27354835606899436,28
holdout,ml,47503E,0.2492803615102788,,0.2492803615102788,28
holdout,ml,84077,70.48487625850989,0.4945067740511843,1.20690727785063,28
holdout,ml,84879,109.86867888004518,0.7607129101486808,47.7115599970273,28
holdout,ml,84991,55.060426221854264,1.3199417244965064,27.977795490469592,28
holdout,ml,84992,34.42525423775714,0.9648719906478477,4.684616442082168,28
holdout,ml,85099B,117.54908527570724,0.843077455870851,49.69349299334045,28
holdout,ml,85123A,80.00122921804939,0.6120312617774271,5.6803582145483205,28
holdout,ml,85220,0.40801586178665084,,0.40801586178665084,28
holdout,seasonal_naive,16044,0.0,,0.0,28
holdout,seasonal_naive,20756,0.7857142857142857,2.2,0.07142857142857142,28
holdout,seasonal_naive,20759,1.2142857142857142,1.4166666666666667,-0.42857142857142855,28
holdout,seasonal_naive,20991,0.0,,0.0,28
holdout,seasonal_naive,20993,0.0,,0.0,28
holdout,seasonal_naive,21212,49.607142857142854,0.758601856908793,-5.25,28
holdout,seasonal_naive,21232,54.17857142857143,0.8663620788121074,-41.67857142857143,28
holdout,seasonal_naive,21977,55.107142857142854,1.173384030418251,-5.678571428571429,28
holdout,seasonal_naive,21980,19.607142857142858,2.010989010989011,3.5357142857142856,28
holdout,seasonal_naive,21984,7.714285714285714,1.9285714285714286,2.0,28
holdout,seasonal_naive,21985,12.714285714285714,0.8127853881278538,-10.785714285714286,28
holdout,seasonal_naive,37410,0.0,,0.0,28
holdout,seasonal_naive,47503E,0.0,,0.0,28
holdout,seasonal_naive,84077,127.67857142857143,0.8957654723127035,17.321428571428573,28
holdout,seasonal_naive,84879,258.7142857142857,1.791295746785361,116.71428571428571,28
holdout,seasonal_naive,84991,41.357142857142854,0.9914383561643836,-9.857142857142858,28
holdout,seasonal_naive,84992,29.821428571428573,0.8358358358358359,-17.964285714285715,28
holdout,seasonal_naive,85099B,272.57142857142856,1.9549180327868851,185.14285714285714,28
holdout,seasonal_naive,85123A,79.85714285714286,0.6109289617486339,-45.57142857142857,28
holdout,seasonal_naive,85220,0.0,,0.0,28
validation,ml,16044,0.25079353030697304,,0.25079353030697304,56
validation,ml,20756,1.1662938668024911,3.2656228270469754,0.6199696822653179,56
validation,ml,20759,1.254193380565886,7.023482931168962,1.048338381986601,56
validation,ml,20991,0.24743877933392722,,0.24743877933392722,56
validation,ml,20993,0.24743877933392722,,0.24743877933392722,56
validation,ml,21212,90.71734065608483,1.0783636333561346,56.266652192497254,56
validation,ml,21232,31.301694752657994,0.9663147222430252,13.263203736714035,56
validation,ml,21977,67.52224407578991,1.5887586841362333,47.90395114264805,56
validation,ml,21980,25.054927175239122,1.2221915695238597,3.835173252799841,56
validation,ml,21984,13.732202016216181,1.5019595955236449,8.51792703752447,56
validation,ml,21985,19.775242457072945,1.3638098246257204,13.991333131981017,56
validation,ml,37410,0.25438928708594233,,0.25438928708594233,56
validation,ml,47503E,0.20168944425103605,,0.20168944425103605,56
validation,ml,84077,177.29726987972248,0.8513674423996277,-26.12922495282604,56
validation,ml,84879,94.48359307824579,0.7753636008765774,15.342759655862412,56
validation,ml,84991,59.60811274583024,1.28782959636053,22.53677108561311,56
validation,ml,84992,37.02455525034895,1.3785738657044824,21.33776242085276,56
validation,ml,85099B,139.9726614078755,0.6912839790846661,-46.11265800414684,56
validation,ml,85123A,84.06151800325233,0.956603334318661,28.127543320034665,56
validation,ml,85220,0.3463295647383186,,0.3463295647383186,56
validation,seasonal_naive,16044,0.0,,0.0,56
validation,seasonal_naive,20756,0.5357142857142857,1.5,-0.07142857142857142,56
validation,seasonal_naive,20759,0.5,2.8,0.25,56
validation,seasonal_naive,20991,0.0,,0.0,56
validation,seasonal_naive,20993,0.0,,0.0,56
validation,seasonal_naive,21212,121.05357142857143,1.4389726172787094,30.660714285714285,56
validation,seasonal_naive,21232,47.32142857142857,1.4608599779492835,20.392857142857142,56
validation,seasonal_naive,21977,106.32142857142857,2.5016806722689076,57.285714285714285,56
validation,seasonal_naive,21980,23.75,1.1585365853658536,-7.142857142857143,56
validation,seasonal_naive,21984,13.928571428571429,1.5234375,6.0,56
validation,seasonal_naive,21985,49.357142857142854,3.4039408866995076,37.785714285714285,56
validation,seasonal_naive,37410,0.0,,0.0,56
validation,seasonal_naive,47503E,0.0,,0.0,56
validation,seasonal_naive,84077,230.21428571428572,1.1054707597324644,-49.82142857142857,56
validation,seasonal_naive,84879,101.42857142857143,0.8323563892145369,-26.642857142857142,56
validation,seasonal_naive,84991,115.14285714285714,2.4876543209876543,50.642857142857146,56
validation,seasonal_naive,84992,67.46428571428571,2.511968085106383,30.857142857142858,56
validation,seasonal_naive,85099B,160.66071428571428,0.7934562130699356,-93.91071428571429,56
validation,seasonal_naive,85123A,78.30357142857143,0.8910790489737859,6.125,56
