split,model,sku,mae,wape,bias,n
holdout,ml,SKU-001,8.387235304876473,0.1211778062624052,-5.644279702214795,28
holdout,ml,SKU-002,4.39410516102513,0.16946962053540446,0.504090653500083,28
holdout,ml,SKU-003,3.941125362112657,0.1827011757270768,-0.7058901947130108,28
holdout,ml,SKU-004,4.386803647362983,0.14501830239216473,0.7572834812944909,28
holdout,ml,SKU-005,6.720049251192935,0.11445339357262907,0.20115590467523248,28
holdout,ml,SKU-006,6.519773026084776,0.1293789119279757,-0.6397841403706531,28
holdout,ml,SKU-007,8.188241705106035,0.1515338848268136,-4.789067578765033,28
holdout,ml,SKU-008,9.59832140854323,0.149390216475381,-8.28647031262694,28
holdout,ml,SKU-009,10.443023816586793,0.17220533973170213,-6.980591816563859,28
holdout,ml,SKU-010,6.996760500959413,0.16490681315392555,-3.87170190582338,28
holdout,ml,SKU-011,3.4365437812463946,0.214305625556568,-1.7266058121776922,28
holdout,ml,SKU-012,12.03929386405358,0.1759395763014093,-9.361586614190385,28
holdout,ml,SKU-013,10.864761341696589,0.17790252489327746,-10.744618686955437,28
holdout,ml,SKU-014,11.378010714935757,0.19088334333025836,-11.265984414850669,28
holdout,ml,SKU-015,5.8027808556708775,0.19694286540458736,-4.953767754549782,28
holdout,ml,SKU-016,14.854828919736159,0.1907084868191712,-14.724271598239511,28
holdout,ml,SKU-017,9.621757240357448,0.21903187213821831,-9.24334217429434,28
holdout,ml,SKU-018,13.91327756445767,0.1741492050982632,-13.810617187842153,28
holdout,ml,SKU-019,11.77661830841336,0.1519563652698498,-11.360684996309505,28
holdout,ml,SKU-020,8.766965790827738,0.1282523731155573,-5.4072353405824884,28
holdout,seasonal_naive,SKU-001,13.642857142857142,0.19711042311661506,10.642857142857142,28
holdout,seasonal_naive,SKU-002,8.785714285714286,0.33884297520661155,6.214285714285714,28
holdout,seasonal_naive,SKU-003,5.642857142857143,0.26158940397350994,1.7142857142857142,28
holdout,seasonal_naive,SKU-004,5.964285714285714,0.19716646989374262,2.3214285714285716,28
holdout,seasonal_naive,SKU-005,10.0,0.170316301703163,8.571428571428571,28
holdout,seasonal_naive,SKU-006,10.678571428571429,0.21190644932671865,5.321428571428571,28
holdout,seasonal_naive,SKU-007,12.964285714285714,0.23992068737607403,-2.0357142857142856,28
holdout,seasonal_naive,SKU-008,8.892857142857142,0.13841022790439134,-3.107142857142857,28
holdout,seasonal_naive,SKU-009,11.142857142857142,0.18374558303886926,-3.7857142857142856,28
holdout,seasonal_naive,SKU-010,8.857142857142858,0.20875420875420875,-3.4285714285714284,28
holdout,seasonal_naive,SKU-011,7.678571428571429,0.47884187082405344,-3.607142857142857,28
holdout,seasonal_naive,SKU-012,10.5,0.1534446764091858,-6.857142857142857,28
